market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SAM,2026-08-29T12:00:00+00:00,,,,,10.0,29.0,0.0,6.28
SAM,2026-08-29T14:00:00+00:00,29.0,29.0,29.0,29.0,10.0,29.0,0.32,6.6
SAM,2026-08-29T15:00:00+00:00,,,,,10.0,29.0,0.0,6.6
SAM,2026-08-29T16:00:00+00:00,29.0,35.0,35.0,29.0,10.0,35.0,27.73,34.33
SAM,2026-08-29T18:00:00+00:00,,,,,10.0,35.0,0.0,34.33
SAM,2026-08-29T19:00:00+00:00,,,,,12.0,35.0,0.0,34.33
SAM,2026-08-29T20:00:00+00:00,,,,,13.0,35.0,0.0,34.33
SAM,2026-08-29T21:00:00+00:00,,,,,15.0,35.0,0.0,34.33
SAM,2026-08-29T22:00:00+00:00,,,,,17.0,35.0,0.0,34.33
SAM,2026-08-29T23:00:00+00:00,,,,,16.0,35.0,0.0,34.33
SAM,2026-08-30T00:00:00+00:00,35.0,35.0,35.0,35.0,17.0,35.0,29.73,64.06
SAM,2026-08-30T01:00:00+00:00,,,,,9.0,29.0,0.0,64.06
SAM,2026-08-30T02:00:00+00:00,,,,,10.0,34.0,0.0,64.06
SAM,2026-08-30T03:00:00+00:00,,,,,10.0,34.0,0.0,64.06
SAM,2026-08-30T04:00:00+00:00,34.0,34.0,34.0,34.0,8.0,33.0,6.32,67.38
SAM,2026-08-30T05:00:00+00:00,,,,,12.0,25.0,0.0,67.38
SAM,2026-08-30T06:00:00+00:00,22.0,24.0,36.0,22.0,11.0,23.0,50.8,118.18
SAM,2026-08-30T07:00:00+00:00,,,,,11.0,22.0,0.0,118.18
SAM,2026-08-30T08:00:00+00:00,22.0,22.0,22.0,22.0,11.0,22.0,1.0,119.18
SAM,2026-08-30T09:00:00+00:00,,,,,10.0,19.0,0.0,119.18
SAM,2026-08-30T10:00:00+00:00,,,,,10.0,17.0,0.0,119.18
SAM,2026-08-30T11:00:00+00:00,17.0,30.0,30.0,17.0,11.0,28.0,3.6,122.78
SAM,2026-08-30T13:00:00+00:00,,,,,11.0,28.0,0.0,122.78
SAM,2026-08-30T15:00:00+00:00,,,,,10.0,28.0,0.0,122.78
SAM,2026-08-30T16:00:00+00:00,,,,,11.0,17.0,0.0,122.78
SAM,2026-08-30T17:00:00+00:00,17.0,21.0,21.0,17.0,12.0,24.0,24.04,146.82
SAM,2026-08-30T18:00:00+00:00,17.0,22.0,22.0,17.0,11.0,18.0,21.0,167.82
SAM,2026-08-30T19:00:00+00:00,16.0,29.0,29.0,16.0,11.0,16.0,73.0,240.82
SAM,2026-08-30T20:00:00+00:00,16.0,25.0,25.0,16.0,11.0,18.0,2.89,243.71
SAM,2026-08-30T21:00:00+00:00,18.0,13.0,18.0,13.0,11.0,13.0,21.55,265.26
SAM,2026-08-30T22:00:00+00:00,13.0,13.0,13.0,7.0,8.0,13.0,111.95,327.86
SAM,2026-08-30T23:00:00+00:00,13.0,13.0,13.0,13.0,8.0,13.0,5.0,332.86
SAM,2026-08-31T00:00:00+00:00,13.0,9.0,13.0,8.0,8.0,10.0,139.95,432.81
SAM,2026-08-31T01:00:00+00:00,9.0,9.0,9.0,9.0,8.0,9.0,200.0,632.81
SAM,2026-08-31T02:00:00+00:00,13.0,13.0,14.0,13.0,10.0,26.0,51.07,682.81
SAM,2026-08-31T03:00:00+00:00,21.0,22.0,22.0,21.0,12.0,25.0,17.24,699.05
SAM,2026-08-31T04:00:00+00:00,,,,,12.0,29.0,0.0,699.05
SAM,2026-08-31T05:00:00+00:00,29.0,29.0,29.0,29.0,13.0,30.0,26.28,725.33
SAM,2026-08-31T06:00:00+00:00,,,,,14.0,30.0,0.0,725.33
SAM,2026-08-31T07:00:00+00:00,,,,,16.0,30.0,0.0,725.33
SAM,2026-08-31T08:00:00+00:00,16.0,15.0,16.0,15.0,11.0,15.0,128.0,679.81
SAM,2026-08-31T09:00:00+00:00,13.0,13.0,13.0,13.0,10.0,14.0,5.0,684.81
SAM,2026-08-31T10:00:00+00:00,13.0,13.0,13.0,13.0,10.0,14.0,29.0,713.81
SAM,2026-08-31T11:00:00+00:00,13.0,13.0,13.0,13.0,11.0,15.0,2.0,715.81
SAM,2026-08-31T12:00:00+00:00,14.0,15.0,15.0,14.0,11.0,15.0,44.5,722.81
SAM,2026-08-31T13:00:00+00:00,15.0,17.0,17.0,15.0,11.0,18.0,108.84,797.15
SAM,2026-08-31T14:00:00+00:00,18.0,19.0,19.0,18.0,11.0,18.0,60.84,857.99
SAM,2026-08-31T15:00:00+00:00,18.0,18.0,18.0,18.0,11.0,18.0,5.25,863.24
SAM,2026-08-31T16:00:00+00:00,18.0,19.0,19.0,18.0,11.0,20.0,39.9,903.14
SAM,2026-08-31T17:00:00+00:00,,,,,11.0,22.0,0.0,903.14
SAM,2026-08-31T18:00:00+00:00,,,,,14.0,22.0,0.0,903.14
